date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2026-04-20;02:00:00;Executed;"PQJNUIDEMDJHX35RJWTJPC";"Internal Transfer";Cash;Cash Transfer Out;;;;-2.000,00;0,00;;EUR
2026-04-16;11:50:27;Executed;"SCALCWjJEtEtraN";"Microsoft";Security;Savings plan;US5949181045;0,140469;355,95;-49,99994055;0,00;0,00;EUR
2026-04-14;02:00:00;Executed;"267119_kTjbKRBDHxGByLgGW33JV6";"Taiwan Semiconductor Manufact. ADR";Cash;Distribution;US8740391003;;;0,23;0,00;0,05;EUR
2026-04-10;11:11:23;Executed;"SCALJQEHrVg7vmu";"Boerse Stuttgart EUWAX Gold II";Security;Savings plan;DE000EWG2LD7;1,870252;133,6717901907;-249,99993294773707;0,00;0,00;EUR
2026-04-10;02:00:00;Executed;"SLZ83XYQGICF6TCWNPTWTO";"Internal Transfer";Cash;Cash Transfer Out;;;;-250,00;0,00;;EUR
2026-04-09;02:00:00;Executed;"260409-4VOCZ2H14VRKTUIPQEJUVL";"For investments";Cash;Deposit;;;;250,00;0,00;;EUR
2026-04-09;02:00:00;Executed;"VZKTMRFGWEJBF5NFCUUG3R";"Scalable Capital Broker withdrawal";Cash;Withdrawal;;;;-250,00;0,00;;EUR
2026-04-09;02:00:00;Executed;"WC2PVEOXABQXTAJWGQVQFH";"Scalable Capital Broker savings plan";Cash;Deposit;;;;250,00;0,00;;EUR
2026-04-08;16:57:02;Executed;"SCALnSh35VXZRjt";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;2;133,37;-266,74;0,00;0,00;EUR
2026-04-08;16:31:36;Executed;"SCAL2usbYQXZKbo";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;2;133,92;-267,84;0,00;0,00;EUR
2026-04-08;15:50:15;Executed;"SCALR4P1v8zKeAu";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;4;134,36;-537,44;0,00;0,00;EUR
2026-04-08;15:08:02;Executed;"SCAL4odva6KHMuJ";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;5;134,78;-673,90;0,00;0,00;EUR
2026-04-08;14:45:51;Executed;"SCALouJAQAbV8jm";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;3;134,80;-404,40;0,00;0,00;EUR
2026-04-08;14:45:22;Cancelled;"SCALi23kEZoMxi4";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;0;0,00;0,00;0,00;0,00;EUR
2026-04-08;12:00:16;Cancelled;"SCALFjdHUXDFom5";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;0;0,00;0,00;0,00;0,00;EUR
2026-04-08;10:30:21;Cancelled;"SCAL4FhiJutVB1x";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;0;0,00;0,00;0,00;0,00;EUR
2026-04-08;09:03:44;Cancelled;"SCALwxWqrnaU43V";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;0;0,00;0,00;0,00;0,00;EUR
2026-04-08;09:00:24;Cancelled;"SCALb93VgauU9ik";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;0;0,00;0,00;0,00;0,00;EUR
2026-04-08;02:00:00;Executed;"UTUIZMWCVS1HJAQGQEDXPV";"Internal Transfer";Cash;Cash Transfer In;;;;1.000,00;0,00;;EUR
2026-04-08;02:00:00;Executed;"Q67D86PCPO8QABVSFJNWBT";"Internal Transfer";Cash;Cash Transfer In;;;;1.000,00;0,00;;EUR
2026-04-07;15:40:47;Executed;"SCALVnyATw2TE8T";"Boerse Stuttgart EUWAX Gold II";Security;Buy;DE000EWG2LD7;2;132,00;-264,00;0,00;0,00;EUR
